CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue,
苗栗縣,1960,1,120.60,24.45,NAN,
苗栗縣,1960,2,120.60,24.45,NAN,
苗栗縣,1960,3,120.60,24.45,NAN,
苗栗縣,1960,4,120.60,24.45,NAN,
苗栗縣,1960,5,120.60,24.45,NAN,
苗栗縣,1960,6,120.60,24.45,NAN,
苗栗縣,1960,7,120.60,24.45,NAN,
苗栗縣,1960,8,120.60,24.45,NAN,
苗栗縣,1960,9,120.60,24.45,NAN,
苗栗縣,1960,10,120.60,24.45,NAN,
苗栗縣,1960,11,120.60,24.45,NAN,
苗栗縣,1960,12,120.60,24.45,NAN,
苗栗縣,1961,1,120.60,24.45,NAN,
苗栗縣,1961,2,120.60,24.45,NAN,
苗栗縣,1961,3,120.60,24.45,NAN,
苗栗縣,1961,4,120.60,24.45,NAN,
苗栗縣,1961,5,120.60,24.45,NAN,
苗栗縣,1961,6,120.60,24.45,NAN,
苗栗縣,1961,7,120.60,24.45,NAN,
苗栗縣,1961,8,120.60,24.45,NAN,
苗栗縣,1961,9,120.60,24.45,NAN,
苗栗縣,1961,10,120.60,24.45,NAN,
苗栗縣,1961,11,120.60,24.45,NAN,
苗栗縣,1961,12,120.60,24.45,NAN,
苗栗縣,1962,1,120.60,24.45,NAN,
苗栗縣,1962,2,120.60,24.45,NAN,
苗栗縣,1962,3,120.60,24.45,NAN,
苗栗縣,1962,4,120.60,24.45,NAN,
苗栗縣,1962,5,120.60,24.45,NAN,
苗栗縣,1962,6,120.60,24.45,NAN,
苗栗縣,1962,7,120.60,24.45,NAN,
苗栗縣,1962,8,120.60,24.45,NAN,
苗栗縣,1962,9,120.60,24.45,NAN,
苗栗縣,1962,10,120.60,24.45,NAN,
苗栗縣,1962,11,120.60,24.45,NAN,
苗栗縣,1962,12,120.60,24.45,NAN,
苗栗縣,1963,1,120.60,24.45,NAN,
苗栗縣,1963,2,120.60,24.45,NAN,
苗栗縣,1963,3,120.60,24.45,NAN,
苗栗縣,1963,4,120.60,24.45,NAN,
苗栗縣,1963,5,120.60,24.45,NAN,
苗栗縣,1963,6,120.60,24.45,NAN,
苗栗縣,1963,7,120.60,24.45,NAN,
苗栗縣,1963,8,120.60,24.45,NAN,
苗栗縣,1963,9,120.60,24.45,NAN,
苗栗縣,1963,10,120.60,24.45,NAN,
苗栗縣,1963,11,120.60,24.45,NAN,
苗栗縣,1963,12,120.60,24.45,NAN,
苗栗縣,1964,1,120.60,24.45,NAN,
苗栗縣,1964,2,120.60,24.45,NAN,
苗栗縣,1964,3,120.60,24.45,NAN,
苗栗縣,1964,4,120.60,24.45,NAN,
苗栗縣,1964,5,120.60,24.45,NAN,
苗栗縣,1964,6,120.60,24.45,NAN,
苗栗縣,1964,7,120.60,24.45,NAN,
苗栗縣,1964,8,120.60,24.45,NAN,
