CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue,
澎湖縣,1960,1,119.30,23.40,NAN,
澎湖縣,1960,2,119.30,23.40,NAN,
澎湖縣,1960,3,119.30,23.40,NAN,
澎湖縣,1960,4,119.30,23.40,NAN,
澎湖縣,1960,5,119.30,23.40,NAN,
澎湖縣,1960,6,119.30,23.40,NAN,
澎湖縣,1960,7,119.30,23.40,NAN,
澎湖縣,1960,8,119.30,23.40,NAN,
澎湖縣,1960,9,119.30,23.40,NAN,
澎湖縣,1960,10,119.30,23.40,NAN,
澎湖縣,1960,11,119.30,23.40,NAN,
澎湖縣,1960,12,119.30,23.40,NAN,
澎湖縣,1961,1,119.30,23.40,NAN,
澎湖縣,1961,2,119.30,23.40,NAN,
澎湖縣,1961,3,119.30,23.40,NAN,
澎湖縣,1961,4,119.30,23.40,NAN,
澎湖縣,1961,5,119.30,23.40,NAN,
澎湖縣,1961,6,119.30,23.40,NAN,
澎湖縣,1961,7,119.30,23.40,NAN,
澎湖縣,1961,8,119.30,23.40,NAN,
澎湖縣,1961,9,119.30,23.40,NAN,
澎湖縣,1961,10,119.30,23.40,NAN,
澎湖縣,1961,11,119.30,23.40,NAN,
澎湖縣,1961,12,119.30,23.40,NAN,
澎湖縣,1962,1,119.30,23.40,NAN,
澎湖縣,1962,2,119.30,23.40,NAN,
澎湖縣,1962,3,119.30,23.40,NAN,
澎湖縣,1962,4,119.30,23.40,NAN,
澎湖縣,1962,5,119.30,23.40,NAN,
澎湖縣,1962,6,119.30,23.40,NAN,
澎湖縣,1962,7,119.30,23.40,NAN,
澎湖縣,1962,8,119.30,23.40,NAN,
澎湖縣,1962,9,119.30,23.40,NAN,
澎湖縣,1962,10,119.30,23.40,NAN,
澎湖縣,1962,11,119.30,23.40,NAN,
澎湖縣,1962,12,119.30,23.40,NAN,
澎湖縣,1963,1,119.30,23.40,NAN,
澎湖縣,1963,2,119.30,23.40,NAN,
澎湖縣,1963,3,119.30,23.40,NAN,
澎湖縣,1963,4,119.30,23.40,NAN,
